"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 26 23:05:57 UTC 2026","Thu Feb 26 23:05:57 UTC 2026","3","tests.integration.program_serv","test_add_program_it","","","","test_add_program_success",""
"passed","Thu Feb 26 23:05:54 UTC 2026","Thu Feb 26 23:05:54 UTC 2026","3","tests.integration.user_serv","test_update_user_it","","","","test_update_user_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_builders","TestUserBuilder","","","test_default_user_via_mother","Позитивный тест: создание пользователя по умолчанию через ObjectMother."
"passed","Thu Feb 26 23:05:52 UTC 2026","Thu Feb 26 23:05:52 UTC 2026","19","tests.integration.session_serv","test_insert_venue_it","","","","test_insert_venue_after_success",""
"passed","Thu Feb 26 23:05:49 UTC 2026","Thu Feb 26 23:05:49 UTC 2026","2","tests.integration.activity_serv","test_get_by_id_non_existen_activity_it","","","","test_get_entertainment_by_id_not_found",""
"passed","Thu Feb 26 23:05:49 UTC 2026","Thu Feb 26 23:05:49 UTC 2026","18","tests.integration.program_serv","test_get_empty_list_program_it","","","","test_get_empty_list",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_venue_service","","","","test_should_succesfull_get_cities",""
"passed","Thu Feb 26 23:05:53 UTC 2026","Thu Feb 26 23:05:53 UTC 2026","6","tests.integration.program_serv","test_update_program_it","","","","test_update_program_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_session_service","","","","test_should_throw_exception_when_get_by_id_fails",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_session_service","","","","test_should_throw_exception_at_update_not_existed",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","0","tests.unit","test_m_program_service","","","","test_should_successfull_get_list",""
"passed","Thu Feb 26 23:05:55 UTC 2026","Thu Feb 26 23:05:55 UTC 2026","7","tests.integration.event_serv","test_get_empty_list_event_it","","","","test_get_empty_list",""
"passed","Thu Feb 26 23:05:49 UTC 2026","Thu Feb 26 23:05:49 UTC 2026","3","tests.integration.lodging_serv","test_add_exsisten_lodging_it","","","","test_add_duplicate_name_accommodation_raises",""
"passed","Thu Feb 26 23:04:47 UTC 2026","Thu Feb 26 23:04:47 UTC 2026","252","tests.unit","test_m_user_service","","","","test_registrate_failure_duplicate",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_builders","TestActivityBuilder","","","test_update_custom_activity_failure","Негативный тест: обновление несуществующей активности через Builder."
"passed","Thu Feb 26 23:05:56 UTC 2026","Thu Feb 26 23:05:56 UTC 2026","3","tests.integration.lodging_serv","test_get_list_lodging_it","","","","test_get_all_accommodations_success",""
"passed","Thu Feb 26 23:05:54 UTC 2026","Thu Feb 26 23:05:54 UTC 2026","6","tests.integration.event_serv","test_get_by_id_event_it","","","","test_get_by_id_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_venue_service","","","","test_add_failure_duplicate",""
"passed","Thu Feb 26 23:05:58 UTC 2026","Thu Feb 26 23:05:58 UTC 2026","2","tests.integration.venue_serv","test_add_duplicate_venue_it","","","","test_add_duplicate_venue_raises",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","3","tests.unit","test_m_event_service","","","","test_get_lodgings_by_event_success",""
"passed","Thu Feb 26 23:05:50 UTC 2026","Thu Feb 26 23:05:50 UTC 2026","2","tests.integration.program_serv","test_delete_non_existen_program_it","","","","test_delete_non_existing_program_raises",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_lodging_service","","","","test_update_failure",""
"passed","Thu Feb 26 23:07:13 UTC 2026","Thu Feb 26 23:07:15 UTC 2026","1761","tests.steps","test_login_limit_steps","","","","test_превышение_количества_попыток_входа","/home/runner/work/event-manager/event-manager/tests/features/login_limit.feature: Превышение количества попыток входа"
"passed","Thu Feb 26 23:05:53 UTC 2026","Thu Feb 26 23:05:53 UTC 2026","3","tests.integration.user_serv","test_delete_user_it","","","","test_delete_user_success",""
"passed","Thu Feb 26 23:05:52 UTC 2026","Thu Feb 26 23:05:52 UTC 2026","4","tests.integration.lodging_serv","test_get_empty_list_lodging_it","","","","test_get_empty_list_accommodations",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","0","tests.unit","test_m_program_service","","","","test_should_successfull_delete_existed_program",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_builders","TestUserBuilder","","","test_custom_user_via_builder","Позитивный тест: создание пользователя с кастомными полями через Builder."
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_venue_service","","","","test_service_should_throw_exception_at_update_not_existed_city",""
"passed","Thu Feb 26 23:05:58 UTC 2026","Thu Feb 26 23:05:58 UTC 2026","2","tests.integration.activity_serv","test_add_existen_activity_it","","","","test_add_duplicate_name_entertainment_raises",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","1","tests.unit","test_m_program_service","","","","test_should_successfull_update_existed_program_by_id",""
