timestamp,container,cpu_percent,mem_usage
2026-03-01T21:41:05+03:00,test_debug-app-1,0.28%,75.21MiB / 6.708GiB
2026-03-01T21:41:07+03:00,otel_collector,0.92%,30.85MiB / 6.708GiB
2026-03-01T21:41:09+03:00,jaeger,5.75%,19.36MiB / 6.708GiB
2026-03-01T21:41:16+03:00,test_debug-app-1,100.54%,79.27MiB / 6.708GiB
2026-03-01T21:41:18+03:00,otel_collector,4.13%,69.95MiB / 6.708GiB
2026-03-01T21:41:20+03:00,jaeger,1.68%,49.04MiB / 6.708GiB
2026-03-01T21:41:28+03:00,test_debug-app-1,101.13%,79.38MiB / 6.708GiB
2026-03-01T21:41:30+03:00,otel_collector,3.09%,68.25MiB / 6.708GiB
2026-03-01T21:41:32+03:00,jaeger,1.67%,74.97MiB / 6.708GiB
2026-03-01T21:41:39+03:00,test_debug-app-1,102.20%,79.73MiB / 6.708GiB
2026-03-01T21:41:41+03:00,otel_collector,6.32%,67.42MiB / 6.708GiB
2026-03-01T21:41:43+03:00,jaeger,3.11%,106.3MiB / 6.708GiB
2026-03-01T21:41:50+03:00,test_debug-app-1,104.02%,79.74MiB / 6.708GiB
2026-03-01T21:41:52+03:00,otel_collector,2.81%,74.84MiB / 6.708GiB
2026-03-01T21:41:54+03:00,jaeger,1.07%,133.7MiB / 6.708GiB
2026-03-01T21:42:01+03:00,test_debug-app-1,101.60%,79.84MiB / 6.708GiB
2026-03-01T21:42:03+03:00,otel_collector,4.81%,67.72MiB / 6.708GiB
2026-03-01T21:42:05+03:00,jaeger,1.20%,174.6MiB / 6.708GiB
2026-03-01T21:42:12+03:00,test_debug-app-1,104.49%,79.64MiB / 6.708GiB
2026-03-01T21:42:14+03:00,otel_collector,6.61%,72.92MiB / 6.708GiB
2026-03-01T21:42:16+03:00,jaeger,2.14%,199.4MiB / 6.708GiB
2026-03-01T21:42:23+03:00,test_debug-app-1,105.49%,79.62MiB / 6.708GiB
2026-03-01T21:42:25+03:00,otel_collector,2.22%,71.36MiB / 6.708GiB
2026-03-01T21:42:27+03:00,jaeger,3.60%,246MiB / 6.708GiB
2026-03-01T21:42:34+03:00,test_debug-app-1,96.45%,79.89MiB / 6.708GiB
2026-03-01T21:42:36+03:00,otel_collector,2.34%,74.43MiB / 6.708GiB
2026-03-01T21:42:38+03:00,jaeger,1.92%,250.2MiB / 6.708GiB
2026-03-01T21:42:46+03:00,test_debug-app-1,102.79%,79.89MiB / 6.708GiB
2026-03-01T21:42:48+03:00,otel_collector,4.34%,62.96MiB / 6.708GiB
2026-03-01T21:42:50+03:00,jaeger,0.97%,279.7MiB / 6.708GiB
2026-03-01T21:42:57+03:00,test_debug-app-1,101.11%,79.7MiB / 6.708GiB
2026-03-01T21:42:59+03:00,otel_collector,5.36%,69.98MiB / 6.708GiB
2026-03-01T21:43:01+03:00,jaeger,6.43%,324.7MiB / 6.708GiB
2026-03-01T21:43:09+03:00,test_debug-app-1,104.79%,80.05MiB / 6.708GiB
2026-03-01T21:43:11+03:00,otel_collector,2.07%,69.44MiB / 6.708GiB
2026-03-01T21:43:13+03:00,jaeger,1.16%,360.7MiB / 6.708GiB
2026-03-01T21:43:20+03:00,test_debug-app-1,102.62%,80.15MiB / 6.708GiB
2026-03-01T21:43:22+03:00,otel_collector,3.49%,65.68MiB / 6.708GiB
2026-03-01T21:43:24+03:00,jaeger,1.35%,374.9MiB / 6.708GiB
2026-03-01T21:43:31+03:00,test_debug-app-1,100.34%,80.05MiB / 6.708GiB
2026-03-01T21:43:33+03:00,otel_collector,2.31%,70.86MiB / 6.708GiB
2026-03-01T21:43:35+03:00,jaeger,2.14%,375MiB / 6.708GiB
2026-03-01T21:43:43+03:00,test_debug-app-1,103.61%,80.55MiB / 6.708GiB
2026-03-01T21:43:45+03:00,otel_collector,4.50%,72.69MiB / 6.708GiB
2026-03-01T21:43:47+03:00,jaeger,0.22%,378.1MiB / 6.708GiB
2026-03-01T21:43:54+03:00,test_debug-app-1,104.61%,80.1MiB / 6.708GiB
2026-03-01T21:43:56+03:00,otel_collector,4.96%,65.23MiB / 6.708GiB
2026-03-01T21:43:58+03:00,jaeger,1.56%,405.4MiB / 6.708GiB
2026-03-01T21:44:05+03:00,test_debug-app-1,102.94%,80.04MiB / 6.708GiB
2026-03-01T21:44:07+03:00,otel_collector,0.25%,67.74MiB / 6.708GiB
2026-03-01T21:44:09+03:00,jaeger,0.02%,428.8MiB / 6.708GiB
2026-03-01T21:44:15+03:00,test_debug-app-1,12.93%,86.81MiB / 6.708GiB
2026-03-01T21:44:17+03:00,otel_collector,0.00%,67.74MiB / 6.708GiB
2026-03-01T21:44:19+03:00,jaeger,0.01%,431.8MiB / 6.708GiB
2026-03-01T21:44:26+03:00,test_debug-app-1,0.56%,86.89MiB / 6.708GiB
2026-03-01T21:44:28+03:00,otel_collector,0.00%,67.74MiB / 6.708GiB
2026-03-01T21:44:30+03:00,jaeger,0.62%,432.1MiB / 6.708GiB
2026-03-01T21:44:38+03:00,test_debug-app-1,0.48%,87.11MiB / 6.708GiB
2026-03-01T21:44:40+03:00,otel_collector,0.00%,67.74MiB / 6.708GiB
2026-03-01T21:44:42+03:00,jaeger,0.20%,432.2MiB / 6.708GiB
2026-03-01T21:44:49+03:00,test_debug-app-1,2.11%,88.2MiB / 6.708GiB
2026-03-01T21:44:51+03:00,otel_collector,0.30%,67.75MiB / 6.708GiB
2026-03-01T21:44:53+03:00,jaeger,0.03%,432.4MiB / 6.708GiB
2026-03-01T21:45:01+03:00,test_debug-app-1,0.52%,88.29MiB / 6.708GiB
2026-03-01T21:45:03+03:00,otel_collector,0.04%,67.75MiB / 6.708GiB
2026-03-01T21:45:05+03:00,jaeger,0.02%,432.7MiB / 6.708GiB
2026-03-01T21:45:12+03:00,test_debug-app-1,0.86%,88.5MiB / 6.708GiB
2026-03-01T21:45:14+03:00,otel_collector,0.04%,67.75MiB / 6.708GiB
2026-03-01T21:45:16+03:00,jaeger,0.60%,433MiB / 6.708GiB
2026-03-01T21:45:23+03:00,test_debug-app-1,1.08%,88.45MiB / 6.708GiB
2026-03-01T21:45:25+03:00,otel_collector,0.38%,67.77MiB / 6.708GiB
2026-03-01T21:45:27+03:00,jaeger,0.25%,434MiB / 6.708GiB
2026-03-01T21:45:34+03:00,test_debug-app-1,0.44%,88.41MiB / 6.708GiB
2026-03-01T21:45:36+03:00,otel_collector,0.07%,67.75MiB / 6.708GiB
2026-03-01T21:45:38+03:00,jaeger,0.03%,433.8MiB / 6.708GiB
2026-03-01T21:45:45+03:00,test_debug-app-1,1.87%,88.38MiB / 6.708GiB
2026-03-01T21:45:47+03:00,otel_collector,0.00%,67.75MiB / 6.708GiB
2026-03-01T21:45:49+03:00,jaeger,0.06%,433.8MiB / 6.708GiB
2026-03-01T21:45:56+03:00,test_debug-app-1,2.80%,88.38MiB / 6.708GiB
2026-03-01T21:45:58+03:00,otel_collector,0.00%,67.76MiB / 6.708GiB
2026-03-01T21:46:00+03:00,jaeger,0.03%,433.9MiB / 6.708GiB
